asn=0    	id=-1  	Main	copying configuration file /home/lkw/tsch-sim-history/tsch-sim/examples/mesh/config.json to output directory /home/lkw/tsch-sim-history/tsch-sim/examples/mesh/results/energy_consumption_with_time/energy-with-time-156900s-600-1/config.json
asn=0    	id=-1  	Main	initializing 600 seconds long simulation...
asn=0    	id=-1  	network	network stats has been reset
asn=0    	id=-1  	TSCH	Orchestra: initializing Orchestra infrastructure
asn=0    	id=-1  	Scheduler	time.timeline.slot_timings 0.1569,0.1569,0.1569,0.1569,0.1569,0.1569,0.1569,0.1569,0.1569,0.1569,0.1569,0.1569,0.1569,0.1569,0.1569,0.1569,0.1569
asn=0    	id=-1  	Main	creating 8 "node" nodes...
asn=0    	id=1   	node	node stats has been reset
asn=0    	id=2   	node	node stats has been reset
asn=0    	id=3   	node	node stats has been reset
asn=0    	id=4   	node	node stats has been reset
asn=0    	id=5   	node	node stats has been reset
asn=0    	id=6   	node	node stats has been reset
asn=0    	id=7   	node	node stats has been reset
asn=0    	id=8   	node	node stats has been reset
asn=0    	id=-1  	Main	generating a mesh network with 8 nodes and 5 degrees
asn=0    	id=1   	Main	Set position x=121.98 y=47.88
asn=0    	id=2   	Main	Set position x=-34.08 y=40.44
asn=0    	id=3   	Main	Set position x=-3.88 y=24.12
asn=0    	id=4   	Main	Set position x=-52.31 y=45.26
asn=0    	id=5   	Main	Set position x=40.65 y=46.48
asn=0    	id=6   	Main	Set position x=23.74 y=-18.32
asn=0    	id=7   	Main	Set position x=98.75 y=44.59
asn=0    	id=8   	Main	Set position x=10.61 y=123.85
asn=0    	id=-1  	App	new packet source, from=2 for=1 period=3 warmup=100
asn=0    	id=-1  	App	new packet source, from=3 for=1 period=3 warmup=100
asn=0    	id=-1  	App	new packet source, from=4 for=1 period=3 warmup=100
asn=0    	id=-1  	App	new packet source, from=5 for=1 period=3 warmup=100
asn=0    	id=-1  	App	new packet source, from=6 for=1 period=3 warmup=100
asn=0    	id=-1  	App	new packet source, from=7 for=1 period=3 warmup=100
asn=0    	id=-1  	App	new packet source, from=8 for=1 period=3 warmup=100
asn=0    	id=-1  	Main	starting simulation main loop...
asn=0    	id=-1  	Main	add network to timeslot switcher
asn=0    	id=-1  	Main	network = [object Object]
asn=0    	id=1   	TSCH	Orchestra: *** initializing
asn=0    	id=1   	TSCH	Orchestra: initializing rule EB per time source (handle=0 slotframe_size=397)
asn=0    	id=1   	TSCH	Orchestra: initializing rule unicast per neighbor storing (handle=1 slotframe_size=17)
asn=0    	id=1   	TSCH	Orchestra: storing rule, receiver based
asn=0    	id=1   	TSCH	Orchestra: initializing rule default common (handle=2 slotframe_size=31)
asn=0    	id=1   	TSCH	Orchestra: initialization done
asn=0    	id=1   	Node	becomes TSCH coordinator
asn=0    	id=2   	TSCH	Orchestra: *** initializing
asn=0    	id=2   	TSCH	Orchestra: initializing rule EB per time source (handle=0 slotframe_size=397)
asn=0    	id=2   	TSCH	Orchestra: initializing rule unicast per neighbor storing (handle=1 slotframe_size=17)
asn=0    	id=2   	TSCH	Orchestra: storing rule, receiver based
asn=0    	id=2   	TSCH	Orchestra: initializing rule default common (handle=2 slotframe_size=31)
asn=0    	id=2   	TSCH	Orchestra: initialization done
asn=0    	id=2   	Node	scanning on channel=20...
asn=0    	id=3   	TSCH	Orchestra: *** initializing
asn=0    	id=3   	TSCH	Orchestra: initializing rule EB per time source (handle=0 slotframe_size=397)
asn=0    	id=3   	TSCH	Orchestra: initializing rule unicast per neighbor storing (handle=1 slotframe_size=17)
asn=0    	id=3   	TSCH	Orchestra: storing rule, receiver based
asn=0    	id=3   	TSCH	Orchestra: initializing rule default common (handle=2 slotframe_size=31)
asn=0    	id=3   	TSCH	Orchestra: initialization done
asn=0    	id=3   	Node	scanning on channel=20...
asn=0    	id=4   	TSCH	Orchestra: *** initializing
asn=0    	id=4   	TSCH	Orchestra: initializing rule EB per time source (handle=0 slotframe_size=397)
asn=0    	id=4   	TSCH	Orchestra: initializing rule unicast per neighbor storing (handle=1 slotframe_size=17)
asn=0    	id=4   	TSCH	Orchestra: storing rule, receiver based
asn=0    	id=4   	TSCH	Orchestra: initializing rule default common (handle=2 slotframe_size=31)
asn=0    	id=4   	TSCH	Orchestra: initialization done
asn=0    	id=4   	Node	scanning on channel=25...
asn=0    	id=5   	TSCH	Orchestra: *** initializing
asn=0    	id=5   	TSCH	Orchestra: initializing rule EB per time source (handle=0 slotframe_size=397)
asn=0    	id=5   	TSCH	Orchestra: initializing rule unicast per neighbor storing (handle=1 slotframe_size=17)
asn=0    	id=5   	TSCH	Orchestra: storing rule, receiver based
asn=0    	id=5   	TSCH	Orchestra: initializing rule default common (handle=2 slotframe_size=31)
asn=0    	id=5   	TSCH	Orchestra: initialization done
asn=0    	id=5   	Node	scanning on channel=20...
asn=0    	id=6   	TSCH	Orchestra: *** initializing
asn=0    	id=6   	TSCH	Orchestra: initializing rule EB per time source (handle=0 slotframe_size=397)
asn=0    	id=6   	TSCH	Orchestra: initializing rule unicast per neighbor storing (handle=1 slotframe_size=17)
asn=0    	id=6   	TSCH	Orchestra: storing rule, receiver based
asn=0    	id=6   	TSCH	Orchestra: initializing rule default common (handle=2 slotframe_size=31)
asn=0    	id=6   	TSCH	Orchestra: initialization done
asn=0    	id=6   	Node	scanning on channel=26...
asn=0    	id=7   	TSCH	Orchestra: *** initializing
asn=0    	id=7   	TSCH	Orchestra: initializing rule EB per time source (handle=0 slotframe_size=397)
asn=0    	id=7   	TSCH	Orchestra: initializing rule unicast per neighbor storing (handle=1 slotframe_size=17)
asn=0    	id=7   	TSCH	Orchestra: storing rule, receiver based
asn=0    	id=7   	TSCH	Orchestra: initializing rule default common (handle=2 slotframe_size=31)
asn=0    	id=7   	TSCH	Orchestra: initialization done
asn=0    	id=7   	Node	scanning on channel=25...
asn=0    	id=8   	TSCH	Orchestra: *** initializing
asn=0    	id=8   	TSCH	Orchestra: initializing rule EB per time source (handle=0 slotframe_size=397)
asn=0    	id=8   	TSCH	Orchestra: initializing rule unicast per neighbor storing (handle=1 slotframe_size=17)
asn=0    	id=8   	TSCH	Orchestra: storing rule, receiver based
asn=0    	id=8   	TSCH	Orchestra: initializing rule default common (handle=2 slotframe_size=31)
asn=0    	id=8   	TSCH	Orchestra: initialization done
asn=0    	id=8   	Node	scanning on channel=26...
asn=1    	id=4   	Node	add neighbor id=1
asn=1    	id=4   	TSCH	joined/associated at 0.157 on receiving an EB packet from 1
asn=1    	id=4   	TSCH	Orchestra: new time source 1
asn=1    	id=4   	TSCH	Orchestra: storing mode: add uc cell to 1, timeslot=1
asn=1    	id=4   	RPL	DIS output to -1
asn=1    	id=7   	Node	add neighbor id=1
asn=1    	id=7   	TSCH	joined/associated at 0.157 on receiving an EB packet from 1
asn=1    	id=7   	TSCH	Orchestra: new time source 1
asn=1    	id=7   	TSCH	Orchestra: storing mode: add uc cell to 1, timeslot=1
asn=1    	id=7   	RPL	DIS output to -1
asn=7    	id=3   	Node	scanning on channel=26...
asn=7    	id=5   	Node	scanning on channel=15...
asn=7    	id=6   	Node	scanning on channel=20...
asn=7    	id=8   	Node	scanning on channel=20...
asn=14   	id=6   	Node	scanning on channel=25...
asn=14   	id=8   	Node	scanning on channel=26...
asn=14   	id=5   	Node	scanning on channel=20...
asn=14   	id=2   	Node	scanning on channel=25...
asn=21   	id=2   	Node	scanning on channel=26...
asn=21   	id=3   	Node	scanning on channel=20...
asn=21   	id=6   	Node	scanning on channel=26...
asn=21   	id=1   	RPL	DIO output to -1
asn=28   	id=8   	Node	scanning on channel=25...
asn=28   	id=5   	Node	scanning on channel=26...
asn=28   	id=3   	Node	scanning on channel=26...
asn=28   	id=2   	Node	scanning on channel=25...
asn=35   	id=3   	Node	scanning on channel=20...
asn=35   	id=2   	Node	scanning on channel=15...
asn=35   	id=5   	Node	scanning on channel=20...
asn=35   	id=6   	Node	scanning on channel=25...
asn=42   	id=6   	Node	scanning on channel=15...
asn=42   	id=8   	Node	scanning on channel=15...
asn=42   	id=5   	Node	scanning on channel=25...
asn=42   	id=3   	Node	scanning on channel=25...
asn=49   	id=3   	Node	scanning on channel=20...
asn=49   	id=2   	Node	scanning on channel=25...
asn=49   	id=5   	Node	scanning on channel=15...
asn=49   	id=6   	Node	scanning on channel=25...
asn=56   	id=6   	Node	scanning on channel=20...
asn=56   	id=5   	Node	scanning on channel=20...
asn=56   	id=2   	Node	scanning on channel=26...
asn=56   	id=3   	Node	scanning on channel=26...
asn=63   	id=2   	Node	scanning on channel=20...
asn=63   	id=5   	Node	scanning on channel=15...
asn=63   	id=6   	Node	scanning on channel=15...
asn=63   	id=8   	Node	scanning on channel=25...
asn=70   	id=6   	Node	scanning on channel=20...
asn=70   	id=8   	Node	scanning on channel=20...
asn=70   	id=5   	Node	scanning on channel=26...
asn=70   	id=3   	Node	scanning on channel=20...
asn=70   	id=2   	Node	scanning on channel=25...
asn=77   	id=5   	Node	scanning on channel=25...
asn=77   	id=8   	Node	scanning on channel=26...
asn=77   	id=6   	Node	scanning on channel=25...
asn=83   	id=1   	RPL	DIO output to -1
asn=84   	id=6   	Node	scanning on channel=26...
asn=84   	id=8   	Node	scanning on channel=20...
asn=84   	id=5   	Node	scanning on channel=15...
asn=84   	id=3   	Node	scanning on channel=26...
asn=84   	id=2   	Node	scanning on channel=20...
asn=91   	id=3   	Node	scanning on channel=25...
asn=91   	id=5   	Node	scanning on channel=20...
asn=91   	id=6   	Node	scanning on channel=25...
asn=93   	id=4   	RPL	DIO input from 1
asn=93   	id=4   	RPL	DIO output to 1
asn=93   	id=7   	RPL	DIO input from 1
asn=93   	id=7   	RPL	DIO output to 1
asn=98   	id=7   	RPL	DIS output to -1
asn=98   	id=8   	Node	scanning on channel=25...
asn=98   	id=3   	Node	scanning on channel=26...
asn=98   	id=6   	Node	scanning on channel=26...
asn=103  	id=4   	Node	tx done to=1 numtx=1 acked=false
asn=103  	id=7   	Node	tx done to=1 numtx=1 acked=false
asn=105  	id=3   	Node	scanning on channel=20...
asn=105  	id=2   	Node	scanning on channel=25...
asn=105  	id=8   	Node	scanning on channel=26...
asn=105  	id=5   	Node	scanning on channel=15...
asn=112  	id=5   	Node	scanning on channel=26...
asn=112  	id=2   	Node	scanning on channel=15...
asn=117  	id=3   	RPL	DIS output to -1
asn=119  	id=3   	Node	scanning on channel=25...
asn=119  	id=2   	Node	scanning on channel=25...
asn=119  	id=5   	Node	scanning on channel=15...
asn=119  	id=8   	Node	scanning on channel=25...
asn=124  	id=1   	Node	add neighbor id=7
asn=124  	id=1   	RPL	received a DIS from 7
asn=124  	id=4   	Node	add neighbor id=7
asn=124  	id=4   	RPL	received a DIS from 7
asn=126  	id=8   	Node	scanning on channel=20...
asn=126  	id=5   	Node	scanning on channel=20...
asn=126  	id=2   	Node	scanning on channel=26...
asn=126  	id=6   	Node	scanning on channel=15...
asn=126  	id=3   	Node	scanning on channel=15...
asn=133  	id=6   	Node	scanning on channel=26...
asn=133  	id=2   	Node	scanning on channel=20...
asn=133  	id=5   	Node	scanning on channel=26...
asn=133  	id=8   	Node	scanning on channel=26...
asn=137  	id=1   	Node	add neighbor id=4
asn=137  	id=1   	RPL	DIO input from 4
asn=137  	id=4   	Node	tx done to=1 numtx=2 acked=true, remove packet
asn=137  	id=4   	RPL	DIO output to 1
asn=140  	id=5   	Node	scanning on channel=25...
asn=140  	id=2   	Node	scanning on channel=25...
asn=140  	id=3   	Node	scanning on channel=20...
asn=140  	id=6   	Node	scanning on channel=15...
asn=147  	id=2   	Node	scanning on channel=15...
asn=147  	id=3   	Node	scanning on channel=25...
asn=149  	id=1   	RPL	DIO output to -1
asn=154  	id=6   	Node	scanning on channel=25...
asn=154  	id=5   	Node	scanning on channel=15...
asn=154  	id=2   	Node	scanning on channel=25...
asn=154  	id=3   	Node	scanning on channel=26...
asn=154  	id=4   	Node	tx done to=1 numtx=1 acked=false
asn=154  	id=7   	Node	tx done to=1 numtx=2 acked=false
asn=155  	id=4   	RPL	DIO input from 1
asn=155  	id=7   	RPL	DIO input from 1
asn=159  	id=5   	RPL	DIS output to -1
asn=161  	id=3   	Node	scanning on channel=15...
asn=161  	id=6   	Node	scanning on channel=20...
asn=161  	id=2   	Node	scanning on channel=20...
asn=164  	id=2   	RPL	DIS output to -1
asn=167  	id=4   	RPL	DIS output to -1
asn=168  	id=2   	Node	scanning on channel=25...
asn=168  	id=3   	Node	scanning on channel=20...
asn=168  	id=6   	Node	scanning on channel=25...
asn=168  	id=5   	Node	scanning on channel=25...
asn=171  	id=1   	RPL	DIO input from 7
asn=171  	id=7   	Node	tx done to=1 numtx=3 acked=true, remove packet
asn=171  	id=7   	RPL	DIO output to 1
asn=175  	id=5   	Node	scanning on channel=26...
asn=175  	id=3   	Node	scanning on channel=26...
asn=175  	id=6   	Node	scanning on channel=15...
asn=175  	id=8   	RPL	DIS output to -1
asn=182  	id=5   	Node	scanning on channel=25...
asn=182  	id=2   	Node	scanning on channel=15...
asn=182  	id=3   	Node	scanning on channel=25...
asn=183  	id=6   	RPL	DIS output to -1
asn=186  	id=1   	RPL	received a DIS from 4
asn=186  	id=7   	Node	add neighbor id=4
asn=186  	id=7   	RPL	received a DIS from 4
asn=188  	id=4   	Node	tx done to=1 numtx=2 acked=false
asn=188  	id=7   	Node	tx done to=1 numtx=1 acked=false
asn=189  	id=3   	Node	scanning on channel=26...
asn=189  	id=2   	Node	scanning on channel=20...
asn=189  	id=6   	Node	scanning on channel=25...
asn=189  	id=5   	Node	scanning on channel=15...
asn=196  	id=3   	Node	scanning on channel=25...
asn=196  	id=2   	Node	scanning on channel=25...
asn=203  	id=3   	Node	scanning on channel=26...
asn=203  	id=2   	Node	scanning on channel=15...
asn=203  	id=6   	Node	scanning on channel=15...
asn=203  	id=7   	RPL	DIS output to -1
asn=208  	id=1   	RPL	DIO output to -1
asn=210  	id=6   	Node	scanning on channel=26...
asn=210  	id=2   	Node	scanning on channel=26...
asn=210  	id=5   	Node	scanning on channel=26...
asn=210  	id=3   	Node	scanning on channel=25...
asn=213  	id=8   	Node	scanning on channel=15...
asn=217  	id=3   	Node	scanning on channel=15...
asn=217  	id=5   	Node	scanning on channel=20...
asn=217  	id=6   	Node	scanning on channel=15...
asn=217  	id=2   	Node	scanning on channel=15...
asn=220  	id=8   	Node	scanning on channel=20...
asn=222  	id=1   	RPL	DIO input from 7
asn=222  	id=7   	Node	tx done to=1 numtx=2 acked=true, remove packet
asn=222  	id=7   	RPL	parent switch: null -> 1
asn=222  	id=7   	Node	add the default route via 1
asn=224  	id=2   	Node	scanning on channel=26...
asn=224  	id=3   	Node	scanning on channel=20...
asn=224  	id=3   	RPL	DIS output to -1
asn=231  	id=3   	Node	scanning on channel=25...
asn=231  	id=2   	Node	scanning on channel=15...
asn=231  	id=6   	Node	scanning on channel=20...
asn=238  	id=3   	Node	scanning on channel=15...
asn=238  	id=2   	Node	scanning on channel=26...
asn=238  	id=6   	Node	scanning on channel=26...
asn=245  	id=5   	Node	scanning on channel=26...
asn=245  	id=2   	Node	scanning on channel=15...
asn=245  	id=6   	Node	scanning on channel=15...
asn=246  	id=7   	RPL	DAO output
asn=252  	id=6   	Node	scanning on channel=26...
asn=252  	id=2   	Node	scanning on channel=20...
asn=252  	id=3   	Node	scanning on channel=20...
asn=252  	id=5   	Node	scanning on channel=15...
asn=256  	id=4   	Node	tx done to=1 numtx=3 acked=false
asn=256  	id=7   	Node	tx done to=1 numtx=1 acked=false
asn=259  	id=5   	Node	scanning on channel=25...
asn=259  	id=3   	Node	scanning on channel=26...
asn=266  	id=3   	Node	scanning on channel=20...
asn=266  	id=6   	Node	scanning on channel=15...
asn=266  	id=2   	Node	scanning on channel=26...
asn=269  	id=7   	RPL	DAO output
asn=271  	id=1   	RPL	DIO output to -1
asn=273  	id=2   	Node	scanning on channel=25...
asn=273  	id=6   	Node	scanning on channel=26...
asn=273  	id=3   	Node	scanning on channel=25...
asn=279  	id=4   	RPL	DIO input from 1
asn=279  	id=7   	RPL	DIO input from 1
asn=280  	id=2   	Node	scanning on channel=20...
asn=280  	id=5   	Node	scanning on channel=20...
asn=287  	id=5   	Node	scanning on channel=15...
asn=288  	id=7   	RPL	DAO output
asn=288  	id=2   	RPL	DIS output to -1
asn=289  	id=4   	RPL	DIS output to -1
asn=294  	id=3   	Node	scanning on channel=20...
asn=294  	id=2   	Node	scanning on channel=26...
asn=294  	id=6   	Node	scanning on channel=25...
asn=300  	id=6   	RPL	DIS output to -1
asn=301  	id=6   	Node	scanning on channel=15...
asn=308  	id=6   	Node	scanning on channel=25...
asn=308  	id=2   	Node	scanning on channel=15...
asn=308  	id=3   	Node	scanning on channel=26...
asn=308  	id=5   	Node	scanning on channel=20...
asn=310  	id=1   	RPL	received a DIS from 4
asn=310  	id=7   	RPL	received a DIS from 4
asn=314  	id=7   	RPL	DAO output
asn=315  	id=5   	Node	scanning on channel=25...
asn=315  	id=3   	Node	scanning on channel=25...
asn=322  	id=6   	Node	scanning on channel=26...
asn=324  	id=4   	Node	tx done to=1 numtx=4 acked=false
asn=324  	id=7   	Node	tx done to=1 numtx=2 acked=false
asn=329  	id=6   	Node	scanning on channel=15...
asn=334  	id=1   	RPL	DIO output to -1
asn=334  	id=7   	RPL	DAO output
asn=334  	id=7   	RPL	warning: local repair
asn=334  	id=7   	RPL	parent switch: 1 -> null
asn=334  	id=7   	Node	remove the default route
asn=334  	id=7   	TSCH	Orchestra: new time source null
asn=334  	id=7   	TSCH	Orchestra: storing mode: remove uc cell to 1, timeslot=1
