asn=4765 	id=-1  	link_model	path_loss_dbm = 86.73196800717635, current bitrate = 250, current distance is 56.0009416000022
asn=5600 	id=-1  	Main	60 seconds, progress 1.67%
asn=5600 	id=-1  	Main	periodic route processing for all nodes
asn=5600 	id=1   	TSCH	stats: {"idle_listen":490,"channel_scan":0,"rx_data":0,"rx_data_tx_ack":5,"tx_data":8,"tx_data_rx_ack":1}
asn=5600 	id=2   	TSCH	stats: {"idle_listen":504,"channel_scan":0,"rx_data":3,"rx_data_tx_ack":1,"tx_data":0,"tx_data_rx_ack":5}
asn=5600 	id=-1  	Mobility	update positions
asn=5600 	id=2   	Mobility	at 60.010 pos is 67.011
asn=5956 	id=-1  	link_model	path_loss_dbm = 88.60271803933902, current bitrate = 250, current distance is 67.01056000000443
asn=6533 	id=-1  	Mobility	update positions
asn=6533 	id=2   	Mobility	at 70.008 pos is 78.008
asn=6783 	id=1   	RPL	DIO output to -1
asn=6789 	id=-1  	link_model	path_loss_dbm = 90.18667176314398, current bitrate = 250, current distance is 78.00839080000665
asn=6789 	id=2   	RPL	DIO input from 1
asn=7147 	id=-1  	link_model	path_loss_dbm = 90.18667176314398, current bitrate = 250, current distance is 78.00839080000665
asn=7466 	id=-1  	Mobility	update positions
asn=7466 	id=2   	Mobility	at 80.006 pos is 89.006
asn=8399 	id=-1  	Mobility	update positions
asn=8399 	id=2   	Mobility	at 90.004 pos is 100.004
asn=8735 	id=-1  	link_model	path_loss_dbm = 92.77570247989752, current bitrate = 250, current distance is 100.0040524000111
asn=9332 	id=-1  	Mobility	update positions
asn=9332 	id=2   	Mobility	at 100.002 pos is 111.002
asn=9926 	id=-1  	link_model	path_loss_dbm = 93.8632084287683, current bitrate = 250, current distance is 111.00188320001332
asn=10266	id=-1  	Mobility	update positions
asn=10266	id=2   	Mobility	at 110.010 pos is 122.012
asn=11088	id=2   	App	generate a packet, seqnum=1 for=1
asn=11102	id=-1  	link_model	path_loss_dbm = 94.84889863290981, current bitrate = 250, current distance is 122.01150160001555
asn=11102	id=1   	App	rx app packet seqnum=1 from=2
asn=11102	id=-1  	link_model	path_loss_dbm = 94.84889863290981, current bitrate = 250, current distance is 122.01150160001555
asn=11102	id=2   	Node	tx done to=1 numtx=1 acked=true, remove packet
asn=11117	id=-1  	link_model	path_loss_dbm = 94.84889863290981, current bitrate = 250, current distance is 122.01150160001555
asn=11138	id=1   	App	generate a packet, seqnum=1 for=2
asn=11154	id=-1  	link_model	path_loss_dbm = 94.84889863290981, current bitrate = 250, current distance is 122.01150160001555
asn=11154	id=2   	App	rx app packet seqnum=1 from=1
asn=11154	id=-1  	link_model	path_loss_dbm = 94.84889863290981, current bitrate = 250, current distance is 122.01150160001555
asn=11154	id=1   	Node	tx done to=2 numtx=1 acked=false
asn=11199	id=-1  	Main	120 seconds, progress 3.33%
asn=11199	id=-1  	Main	periodic route processing for all nodes
asn=11199	id=1   	TSCH	stats: {"idle_listen":987,"channel_scan":0,"rx_data":0,"rx_data_tx_ack":6,"tx_data":14,"tx_data_rx_ack":2}
asn=11199	id=2   	TSCH	stats: {"idle_listen":1014,"channel_scan":0,"rx_data":4,"rx_data_tx_ack":2,"tx_data":0,"tx_data_rx_ack":6}
asn=11199	id=-1  	Mobility	update positions
asn=11199	id=2   	Mobility	at 120.008 pos is 133.009
asn=11205	id=-1  	link_model	path_loss_dbm = 95.74845083181117, current bitrate = 250, current distance is 133.00933240001777
asn=11205	id=-1  	link_model	path_loss_dbm = 95.74845083181117, current bitrate = 250, current distance is 133.00933240001777
asn=11205	id=1   	Node	tx done to=2 numtx=2 acked=true, remove packet
asn=12132	id=-1  	Mobility	update positions
asn=12132	id=2   	Mobility	at 130.007 pos is 144.007
asn=12171	id=1   	App	generate a packet, seqnum=2 for=2
asn=12174	id=-1  	link_model	path_loss_dbm = 96.57649839116179, current bitrate = 250, current distance is 144.00716320002002
asn=12174	id=2   	App	rx app packet seqnum=2 from=1
asn=12174	id=-1  	link_model	path_loss_dbm = 96.57649839116179, current bitrate = 250, current distance is 144.00716320002002
asn=12174	id=1   	Node	tx done to=2 numtx=1 acked=true, remove packet
asn=12268	id=2   	App	generate a packet, seqnum=2 for=1
asn=12275	id=-1  	link_model	path_loss_dbm = 96.57649839116179, current bitrate = 250, current distance is 144.00716320002002
asn=12275	id=1   	App	rx app packet seqnum=2 from=2
asn=12275	id=-1  	link_model	path_loss_dbm = 96.57649839116179, current bitrate = 250, current distance is 144.00716320002002
asn=12275	id=2   	Node	tx done to=1 numtx=1 acked=false
asn=12308	id=-1  	link_model	path_loss_dbm = 96.57649839116179, current bitrate = 250, current distance is 144.00716320002002
