asn=326000	id=-1  	User	node id = 2, parent = 1
asn=326000	id=-1  	User	node id = 3, parent = 1
asn=326000	id=-1  	User	node id = 4, parent = 1
asn=326000	id=-1  	User	node id = 5, parent = 1
asn=326000	id=-1  	User	node id = 6, parent = 1
asn=335946	id=-1  	Main	ending simulation at 3599.997 seconds
asn=335946	id=-1  	Main	detail_tx 0.0003852269517380577,tx=0.0003852269517380577,detail_rx 0.002123199348964293,rx =0.02052990185897773 
asn=335946	id=-1  	Main	charge_joined_uc=612571.396 radio_duty_cycle_joined=2.092 
asn=335946	id=-1  	Main	detail_tx 0.00044130699323779017,tx=0.00044130699323779017,detail_rx 0.00028218465326361263,rx =0.020281888342112173 
asn=335946	id=-1  	Main	charge_joined_uc=665586.159 radio_duty_cycle_joined=2.072 
asn=335946	id=-1  	Main	detail_tx 0.0004381958798244273,tx=0.0004381958798244273,detail_rx 0.00031202467534549594,rx =0.020290095014851853 
asn=335946	id=-1  	Main	charge_joined_uc=664866.205 radio_duty_cycle_joined=2.073 
asn=335946	id=-1  	Main	detail_tx 0.0004422492161572658,tx=0.0004422492161572658,detail_rx 0.0002981224428354973,rx =0.02028602612295195 
asn=335946	id=-1  	Main	charge_joined_uc=665193.457 radio_duty_cycle_joined=2.073 
asn=335946	id=-1  	Main	detail_tx 0.0004969070343823182,tx=0.0004969070343823181,detail_rx 0.0002967713307245512,rx =0.02028401945480033 
asn=335946	id=-1  	Main	charge_joined_uc=665171.64 radio_duty_cycle_joined=2.078 
asn=335946	id=-1  	Main	detail_tx 0.0005119381566165942,tx=0.0005119381566165941,detail_rx 0.00028808687985353536,rx =0.020287135012661425 
asn=335946	id=-1  	Main	charge_joined_uc=665564.342 radio_duty_cycle_joined=2.08 
asn=335946	id=-1  	Main	packet stats: PDR=100.000% generated=1589 received=1589 lost=0 (tx_limit/queue/routing/scheduling/other=0/0/0/0/0)
asn=335946	id=-1  	Main	link stats: PAR=80.806% tx=1985 acked=1604
asn=335946	id=-1  	Main	link stats: tx=2157 rx=2789 tx_unicat=2021,this.stats_mac_acked=1774
asn=335946	id=-1  	Main	current-consumed=1.094 current-consumed-when-joined=1.094
asn=335946	id=-1  	Main	mac_rx_collision=160,mac_rx = 2789,collision rate =5.736823234134098 
asn=335946	id=-1  	Main	duty_cycle_joined_average=2.078 
asn=335946	id=-1  	Main	duty_cycle_rx_bc=0.001354371372617304, duty_cycle_tx_bc=0.001354371372617304,duty_cycle_rx_uc=0.04623225643450563,duty_cycle_tx_uc=0.04390936582665692,duty_cycle_rx_idle=1.9726446079228077
asn=335946	id=-1  	Main	simulation completed, results saved at /home/lkw/tsch-sim-history/tsch-sim/examples/mesh/results/single_model_diff_packet_period/7200s-10716-11-0
