asn=0    	id=-1  	Main	copying configuration file /home/lkw/tsch-sim-history/tsch-sim/examples/mesh/config.json to output directory /home/lkw/tsch-sim-history/tsch-sim/examples/mesh/results/energy_consumption_with_time/energy-with-time-5704s-600-6/config.json
asn=0    	id=-1  	Main	initializing 600 seconds long simulation...
asn=0    	id=-1  	network	network stats has been reset
asn=0    	id=-1  	TSCH	Orchestra: initializing Orchestra infrastructure
asn=0    	id=-1  	Scheduler	time.timeline.slot_timings 0.005704,0.005704,0.005704,0.005704,0.005704,0.005704,0.005704,0.005704,0.005704,0.005704,0.005704,0.005704,0.005704,0.005704,0.005704,0.005704,0.005704
asn=0    	id=-1  	Main	creating 8 "node" nodes...
asn=0    	id=1   	node	node stats has been reset
asn=0    	id=2   	node	node stats has been reset
asn=0    	id=3   	node	node stats has been reset
asn=0    	id=4   	node	node stats has been reset
asn=0    	id=5   	node	node stats has been reset
asn=0    	id=6   	node	node stats has been reset
asn=0    	id=7   	node	node stats has been reset
asn=0    	id=8   	node	node stats has been reset
asn=0    	id=-1  	Main	generating a mesh network with 8 nodes and 5 degrees
asn=0    	id=1   	Main	Set position x=50.52 y=-1.71
asn=0    	id=2   	Main	Set position x=-96.62 y=53.22
asn=0    	id=3   	Main	Set position x=32.46 y=-71.00
asn=0    	id=4   	Main	Set position x=-26.85 y=-63.36
asn=0    	id=5   	Main	Set position x=115.88 y=-69.54
asn=0    	id=6   	Main	Set position x=76.84 y=-90.47
asn=0    	id=7   	Main	Set position x=-15.01 y=-41.52
asn=0    	id=8   	Main	Set position x=4.60 y=33.03
asn=0    	id=-1  	App	new packet source, from=2 for=1 period=3 warmup=100
asn=0    	id=-1  	App	new packet source, from=3 for=1 period=3 warmup=100
asn=0    	id=-1  	App	new packet source, from=4 for=1 period=3 warmup=100
asn=0    	id=-1  	App	new packet source, from=5 for=1 period=3 warmup=100
asn=0    	id=-1  	App	new packet source, from=6 for=1 period=3 warmup=100
asn=0    	id=-1  	App	new packet source, from=7 for=1 period=3 warmup=100
asn=0    	id=-1  	App	new packet source, from=8 for=1 period=3 warmup=100
asn=0    	id=-1  	Main	starting simulation main loop...
asn=0    	id=-1  	Main	add network to timeslot switcher
asn=0    	id=-1  	Main	network = [object Object]
asn=0    	id=1   	TSCH	Orchestra: *** initializing
asn=0    	id=1   	TSCH	Orchestra: initializing rule EB per time source (handle=0 slotframe_size=397)
asn=0    	id=1   	TSCH	Orchestra: initializing rule unicast per neighbor storing (handle=1 slotframe_size=17)
asn=0    	id=1   	TSCH	Orchestra: storing rule, receiver based
asn=0    	id=1   	TSCH	Orchestra: initializing rule default common (handle=2 slotframe_size=31)
asn=0    	id=1   	TSCH	Orchestra: initialization done
asn=0    	id=1   	Node	becomes TSCH coordinator
asn=0    	id=2   	TSCH	Orchestra: *** initializing
asn=0    	id=2   	TSCH	Orchestra: initializing rule EB per time source (handle=0 slotframe_size=397)
asn=0    	id=2   	TSCH	Orchestra: initializing rule unicast per neighbor storing (handle=1 slotframe_size=17)
asn=0    	id=2   	TSCH	Orchestra: storing rule, receiver based
asn=0    	id=2   	TSCH	Orchestra: initializing rule default common (handle=2 slotframe_size=31)
asn=0    	id=2   	TSCH	Orchestra: initialization done
asn=0    	id=2   	Node	scanning on channel=25...
asn=0    	id=3   	TSCH	Orchestra: *** initializing
asn=0    	id=3   	TSCH	Orchestra: initializing rule EB per time source (handle=0 slotframe_size=397)
asn=0    	id=3   	TSCH	Orchestra: initializing rule unicast per neighbor storing (handle=1 slotframe_size=17)
asn=0    	id=3   	TSCH	Orchestra: storing rule, receiver based
asn=0    	id=3   	TSCH	Orchestra: initializing rule default common (handle=2 slotframe_size=31)
asn=0    	id=3   	TSCH	Orchestra: initialization done
asn=0    	id=3   	Node	scanning on channel=25...
asn=0    	id=4   	TSCH	Orchestra: *** initializing
asn=0    	id=4   	TSCH	Orchestra: initializing rule EB per time source (handle=0 slotframe_size=397)
asn=0    	id=4   	TSCH	Orchestra: initializing rule unicast per neighbor storing (handle=1 slotframe_size=17)
asn=0    	id=4   	TSCH	Orchestra: storing rule, receiver based
asn=0    	id=4   	TSCH	Orchestra: initializing rule default common (handle=2 slotframe_size=31)
asn=0    	id=4   	TSCH	Orchestra: initialization done
asn=0    	id=4   	Node	scanning on channel=15...
asn=0    	id=5   	TSCH	Orchestra: *** initializing
asn=0    	id=5   	TSCH	Orchestra: initializing rule EB per time source (handle=0 slotframe_size=397)
asn=0    	id=5   	TSCH	Orchestra: initializing rule unicast per neighbor storing (handle=1 slotframe_size=17)
asn=0    	id=5   	TSCH	Orchestra: storing rule, receiver based
asn=0    	id=5   	TSCH	Orchestra: initializing rule default common (handle=2 slotframe_size=31)
asn=0    	id=5   	TSCH	Orchestra: initialization done
asn=0    	id=5   	Node	scanning on channel=25...
asn=0    	id=6   	TSCH	Orchestra: *** initializing
asn=0    	id=6   	TSCH	Orchestra: initializing rule EB per time source (handle=0 slotframe_size=397)
asn=0    	id=6   	TSCH	Orchestra: initializing rule unicast per neighbor storing (handle=1 slotframe_size=17)
asn=0    	id=6   	TSCH	Orchestra: storing rule, receiver based
asn=0    	id=6   	TSCH	Orchestra: initializing rule default common (handle=2 slotframe_size=31)
asn=0    	id=6   	TSCH	Orchestra: initialization done
asn=0    	id=6   	Node	scanning on channel=20...
asn=0    	id=7   	TSCH	Orchestra: *** initializing
asn=0    	id=7   	TSCH	Orchestra: initializing rule EB per time source (handle=0 slotframe_size=397)
asn=0    	id=7   	TSCH	Orchestra: initializing rule unicast per neighbor storing (handle=1 slotframe_size=17)
asn=0    	id=7   	TSCH	Orchestra: storing rule, receiver based
asn=0    	id=7   	TSCH	Orchestra: initializing rule default common (handle=2 slotframe_size=31)
asn=0    	id=7   	TSCH	Orchestra: initialization done
asn=0    	id=7   	Node	scanning on channel=15...
asn=0    	id=8   	TSCH	Orchestra: *** initializing
asn=0    	id=8   	TSCH	Orchestra: initializing rule EB per time source (handle=0 slotframe_size=397)
asn=0    	id=8   	TSCH	Orchestra: initializing rule unicast per neighbor storing (handle=1 slotframe_size=17)
asn=0    	id=8   	TSCH	Orchestra: storing rule, receiver based
asn=0    	id=8   	TSCH	Orchestra: initializing rule default common (handle=2 slotframe_size=31)
asn=0    	id=8   	TSCH	Orchestra: initialization done
asn=0    	id=8   	Node	scanning on channel=15...
asn=1    	id=2   	Node	add neighbor id=1
asn=1    	id=2   	TSCH	joined/associated at 0.006 on receiving an EB packet from 1
asn=1    	id=2   	TSCH	Orchestra: new time source 1
asn=1    	id=2   	TSCH	Orchestra: storing mode: add uc cell to 1, timeslot=1
asn=1    	id=2   	RPL	DIS output to -1
asn=1    	id=3   	Node	add neighbor id=1
asn=1    	id=3   	TSCH	joined/associated at 0.006 on receiving an EB packet from 1
asn=1    	id=3   	TSCH	Orchestra: new time source 1
asn=1    	id=3   	TSCH	Orchestra: storing mode: add uc cell to 1, timeslot=1
asn=1    	id=3   	RPL	DIS output to -1
asn=1    	id=5   	Node	add neighbor id=1
asn=1    	id=5   	TSCH	joined/associated at 0.006 on receiving an EB packet from 1
asn=1    	id=5   	TSCH	Orchestra: new time source 1
asn=1    	id=5   	TSCH	Orchestra: storing mode: add uc cell to 1, timeslot=1
asn=1    	id=5   	RPL	DIS output to -1
asn=176  	id=4   	Node	scanning on channel=26...
asn=176  	id=6   	Node	scanning on channel=25...
asn=176  	id=7   	Node	scanning on channel=26...
asn=176  	id=8   	Node	scanning on channel=25...
asn=352  	id=7   	Node	scanning on channel=15...
asn=352  	id=4   	Node	scanning on channel=15...
asn=528  	id=8   	Node	scanning on channel=20...
asn=528  	id=7   	Node	scanning on channel=20...
asn=528  	id=6   	Node	scanning on channel=26...
asn=528  	id=4   	Node	scanning on channel=20...
asn=689  	id=1   	RPL	DIO output to -1
asn=704  	id=4   	Node	scanning on channel=25...
asn=704  	id=8   	Node	scanning on channel=15...
asn=704  	id=7   	Node	scanning on channel=26...
asn=704  	id=6   	Node	scanning on channel=25...
asn=713  	id=3   	RPL	DIO input from 1
asn=713  	id=3   	RPL	DIO output to 1
asn=713  	id=5   	RPL	DIO input from 1
asn=713  	id=5   	RPL	DIO output to 1
asn=715  	id=1   	Node	add neighbor id=3
asn=715  	id=1   	RPL	DIO input from 3
asn=715  	id=3   	Node	tx done to=1 numtx=1 acked=true, remove packet
asn=715  	id=3   	RPL	DIO output to 1
asn=715  	id=5   	Node	tx done to=1 numtx=1 acked=false
asn=732  	id=1   	RPL	DIO input from 3
asn=732  	id=3   	Node	tx done to=1 numtx=1 acked=true, remove packet
asn=732  	id=3   	RPL	DIO output to 1
asn=749  	id=1   	RPL	DIO input from 3
asn=749  	id=3   	Node	tx done to=1 numtx=1 acked=true, remove packet
asn=749  	id=3   	RPL	DIO output to 1
asn=749  	id=5   	Node	tx done to=1 numtx=2 acked=false
asn=766  	id=1   	RPL	DIO input from 3
asn=766  	id=3   	Node	tx done to=1 numtx=1 acked=true, remove packet
asn=766  	id=3   	RPL	parent switch: null -> 1
asn=766  	id=3   	Node	add the default route via 1
asn=834  	id=5   	Node	tx done to=1 numtx=3 acked=false
asn=880  	id=4   	Node	scanning on channel=15...
asn=880  	id=6   	Node	scanning on channel=20...
asn=902  	id=5   	Node	tx done to=1 numtx=4 acked=false
asn=1056 	id=6   	Node	scanning on channel=15...
asn=1056 	id=4   	Node	scanning on channel=20...
asn=1056 	id=8   	Node	scanning on channel=20...
asn=1056 	id=7   	Node	scanning on channel=20...
asn=1191 	id=5   	Node	tx done to=1 numtx=5 acked=false
asn=1232 	id=7   	Node	scanning on channel=15...
asn=1232 	id=6   	Node	scanning on channel=26...
asn=1232 	id=4   	Node	scanning on channel=26...
asn=1320 	id=3   	RPL	DAO output
asn=1327 	id=1   	RPL	DAO input from 3
asn=1327 	id=1   	Node	add route to 3 via 3
asn=1327 	id=1   	TSCH	Orchestra: child added 3
asn=1327 	id=1   	TSCH	Orchestra: storing mode: add uc cell to 3, timeslot=3
asn=1327 	id=1   	RPL	DAO ACK output 241 0
asn=1327 	id=3   	Node	tx done to=1 numtx=1 acked=true, remove packet
asn=1327 	id=3   	TSCH	Orchestra: parent acked a DAO
asn=1329 	id=3   	RPL	got DAO ACK seqno 241 (our 241), status 0
asn=1329 	id=1   	Node	tx done to=3 numtx=1 acked=true, remove packet
asn=1408 	id=4   	Node	scanning on channel=15...
asn=1408 	id=8   	Node	scanning on channel=25...
asn=1408 	id=7   	Node	scanning on channel=25...
asn=1408 	id=6   	Node	scanning on channel=15...
asn=1565 	id=5   	Node	tx done to=1 numtx=6 acked=false
asn=1584 	id=4   	Node	scanning on channel=26...
asn=1584 	id=8   	Node	scanning on channel=26...
asn=1584 	id=7   	Node	scanning on channel=20...
asn=1650 	id=1   	Node	add neighbor id=5
asn=1650 	id=1   	RPL	DIO input from 5
asn=1650 	id=5   	Node	tx done to=1 numtx=7 acked=true, remove packet
asn=1650 	id=5   	RPL	parent switch: null -> 1
asn=1650 	id=5   	Node	add the default route via 1
asn=1760 	id=8   	Node	scanning on channel=25...
asn=1760 	id=6   	Node	scanning on channel=26...
asn=1936 	id=8   	Node	scanning on channel=15...
asn=1936 	id=7   	Node	scanning on channel=25...
asn=1936 	id=6   	Node	scanning on channel=20...
asn=2104 	id=5   	RPL	DAO output
asn=2109 	id=1   	RPL	DAO input from 5
asn=2109 	id=1   	Node	add route to 5 via 5
asn=2109 	id=1   	TSCH	Orchestra: child added 5
asn=2109 	id=1   	TSCH	Orchestra: storing mode: add uc cell to 5, timeslot=5
asn=2109 	id=1   	RPL	DAO ACK output 241 0
asn=2109 	id=5   	Node	tx done to=1 numtx=1 acked=false
asn=2112 	id=6   	Node	scanning on channel=15...
asn=2112 	id=7   	Node	scanning on channel=20...
asn=2112 	id=8   	Node	scanning on channel=20...
asn=2113 	id=5   	RPL	got DAO ACK seqno 241 (our 241), status 0
asn=2113 	id=1   	Node	tx done to=5 numtx=1 acked=true, remove packet
asn=2177 	id=5   	Node	tx done to=1 numtx=2 acked=true, remove packet
asn=2177 	id=5   	TSCH	Orchestra: parent acked a DAO
asn=2288 	id=7   	Node	scanning on channel=15...
asn=2288 	id=8   	Node	scanning on channel=26...
asn=2288 	id=4   	Node	scanning on channel=15...
asn=2402 	id=1   	RPL	DIO output to -1
asn=2402 	id=3   	RPL	DIO output to -1
asn=2418 	id=5   	Node	add neighbor id=3
asn=2418 	id=5   	RPL	DIO input from 3
asn=2464 	id=8   	Node	scanning on channel=25...
asn=2464 	id=6   	Node	scanning on channel=25...
asn=2640 	id=4   	Node	scanning on channel=20...
asn=2640 	id=8   	Node	scanning on channel=26...
asn=2640 	id=7   	Node	scanning on channel=20...
asn=2640 	id=6   	Node	scanning on channel=15...
asn=2705 	id=7   	RPL	DIS output to -1
asn=2814 	id=5   	RPL	DIO output to -1
asn=2816 	id=6   	Node	scanning on channel=26...
asn=2816 	id=4   	Node	scanning on channel=15...
asn=2816 	id=8   	Node	scanning on channel=20...
asn=2816 	id=7   	Node	scanning on channel=25...
asn=2821 	id=1   	RPL	DIO input from 5
asn=2821 	id=3   	Node	add neighbor id=5
asn=2821 	id=3   	RPL	DIO input from 5
asn=2992 	id=6   	Node	scanning on channel=20...
asn=2992 	id=4   	Node	scanning on channel=26...
asn=2992 	id=8   	Node	scanning on channel=25...
asn=2992 	id=7   	Node	scanning on channel=20...
asn=3168 	id=4   	Node	scanning on channel=15...
asn=3168 	id=8   	Node	scanning on channel=15...
asn=3179 	id=6   	Node	add neighbor id=3
asn=3179 	id=6   	TSCH	joined/associated at 18.133 on receiving an EB packet from 3
asn=3179 	id=6   	TSCH	Orchestra: new time source 3
asn=3179 	id=6   	TSCH	Orchestra: storing mode: add uc cell to 3, timeslot=3
asn=3179 	id=6   	RPL	DIS output to -1
asn=3179 	id=7   	Node	add neighbor id=3
asn=3179 	id=7   	TSCH	joined/associated at 18.133 on receiving an EB packet from 3
asn=3179 	id=7   	TSCH	Orchestra: new time source 3
asn=3179 	id=7   	TSCH	Orchestra: storing mode: add uc cell to 3, timeslot=3
asn=3179 	id=7   	RPL	DIS output to -1
asn=3193 	id=1   	Node	add neighbor id=7
asn=3193 	id=1   	RPL	received a DIS from 7
asn=3193 	id=5   	Node	add neighbor id=6
asn=3193 	id=5   	RPL	received a DIS from 6
asn=3344 	id=4   	Node	scanning on channel=20...
asn=3344 	id=8   	Node	scanning on channel=25...
asn=3520 	id=4   	Node	scanning on channel=26...
asn=3520 	id=8   	Node	scanning on channel=15...
asn=3571 	id=1   	RPL	DIO output to -1
asn=3574 	id=4   	Node	add neighbor id=1
asn=3574 	id=4   	TSCH	joined/associated at 20.386 on receiving an EB packet from 1
asn=3574 	id=4   	TSCH	Orchestra: new time source 1
asn=3574 	id=4   	TSCH	Orchestra: storing mode: add uc cell to 1, timeslot=1
asn=3574 	id=4   	RPL	DIS output to -1
asn=3596 	id=5   	RPL	DIO input from 1
asn=3596 	id=6   	Node	add neighbor id=1
asn=3596 	id=6   	RPL	DIO input from 1
asn=3596 	id=6   	RPL	DIO output to 1
asn=3596 	id=7   	Node	add neighbor id=4
asn=3596 	id=7   	RPL	warning: dis_input: not in an instance yet, discard
asn=3627 	id=1   	Node	add neighbor id=6
asn=3627 	id=1   	RPL	DIO input from 6
asn=3627 	id=6   	Node	tx done to=1 numtx=1 acked=true, remove packet
asn=3627 	id=6   	RPL	DIO output to 1
asn=3658 	id=1   	RPL	DIO input from 6
asn=3658 	id=6   	Node	tx done to=1 numtx=1 acked=false
asn=3696 	id=8   	Node	scanning on channel=26...
asn=3720 	id=6   	Node	tx done to=1 numtx=2 acked=true, remove packet
asn=3720 	id=6   	RPL	DIO output to 1
asn=3751 	id=1   	RPL	DIO input from 6
asn=3751 	id=6   	Node	tx done to=1 numtx=1 acked=false
asn=3813 	id=6   	Node	tx done to=1 numtx=2 acked=true, remove packet
asn=3813 	id=6   	RPL	parent switch: null -> 1
asn=3813 	id=6   	Node	add the default route via 1
asn=3813 	id=6   	TSCH	Orchestra: new time source 1
asn=3813 	id=6   	TSCH	Orchestra: storing mode: remove uc cell to 3, timeslot=3
asn=3813 	id=6   	TSCH	Orchestra: storing mode: add uc cell to 1, timeslot=1
asn=3872 	id=8   	Node	scanning on channel=15...
asn=3877 	id=3   	RPL	DIO output to -1
asn=3906 	id=1   	RPL	DIO input from 3
asn=3906 	id=4   	Node	add neighbor id=3
asn=3906 	id=4   	RPL	DIO input from 3
asn=3906 	id=4   	RPL	DIO output to 3
asn=3906 	id=5   	RPL	DIO input from 3
asn=3906 	id=6   	RPL	DIO input from 3
asn=3906 	id=7   	RPL	DIO input from 3
asn=3906 	id=7   	RPL	DIO output to 3
asn=3913 	id=3   	Node	add neighbor id=7
asn=3913 	id=3   	RPL	DIO input from 7
asn=3913 	id=7   	Node	tx done to=3 numtx=1 acked=true, remove packet
asn=3913 	id=7   	RPL	DIO output to 3
asn=3930 	id=3   	RPL	DIO input from 7
asn=3930 	id=7   	Node	tx done to=3 numtx=1 acked=true, remove packet
asn=3930 	id=7   	RPL	DIO output to 3
asn=3937 	id=3   	Node	add neighbor id=4
asn=3937 	id=3   	RPL	DIO input from 4
asn=3937 	id=4   	Node	tx done to=3 numtx=1 acked=true, remove packet
asn=3937 	id=4   	RPL	DIO output to 3
asn=3947 	id=3   	RPL	DIO input from 7
asn=3947 	id=7   	Node	tx done to=3 numtx=1 acked=true, remove packet
asn=3947 	id=7   	RPL	DIO output to 3
asn=3964 	id=3   	RPL	DIO input from 7
asn=3964 	id=7   	Node	tx done to=3 numtx=1 acked=true, remove packet
