asn=0    	id=-1  	Main	copying configuration file /home/lkw/tsch-sim-history/tsch-sim/examples/mesh/config-mobility.json to output directory /home/lkw/tsch-sim-history/tsch-sim/examples/mesh/results/link_quality_with_distance/3600s-29380/config-mobility.json
asn=0    	id=-1  	Main	initializing 3600 seconds long simulation...
asn=0    	id=-1  	network	network stats has been reset
asn=0    	id=-1  	TSCH	Orchestra: initializing Orchestra infrastructure
asn=0    	id=-1  	Main	creating 1 "static" nodes...
asn=0    	id=-1  	Main	creating 1 "mobile" nodes...
asn=0    	id=-1  	App	new packet source, from=1 for=2 period=20 warmup=100
asn=0    	id=-1  	App	new packet source, from=2 for=1 period=20 warmup=100
asn=0    	id=-1  	Main	starting simulation main loop...
asn=0    	id=-1  	Main	add network to timeslot switcher
asn=0    	id=-1  	Main	network = [object Object]
asn=0    	id=1   	TSCH	Orchestra: *** initializing
asn=0    	id=1   	TSCH	Orchestra: initializing rule EB per time source (handle=0 slotframe_size=397)
asn=0    	id=1   	TSCH	Orchestra: initializing rule unicast per neighbor storing (handle=1 slotframe_size=17)
asn=0    	id=1   	TSCH	Orchestra: storing rule, receiver based
asn=0    	id=1   	TSCH	Orchestra: initializing rule default common (handle=2 slotframe_size=31)
asn=0    	id=1   	TSCH	Orchestra: initialization done
asn=0    	id=1   	Node	becomes TSCH coordinator
asn=0    	id=2   	TSCH	Orchestra: *** initializing
asn=0    	id=2   	TSCH	Orchestra: initializing rule EB per time source (handle=0 slotframe_size=397)
asn=0    	id=2   	TSCH	Orchestra: initializing rule unicast per neighbor storing (handle=1 slotframe_size=17)
asn=0    	id=2   	TSCH	Orchestra: storing rule, receiver based
asn=0    	id=2   	TSCH	Orchestra: initializing rule default common (handle=2 slotframe_size=31)
asn=0    	id=2   	TSCH	Orchestra: initialization done
asn=1    	id=-1  	Mobility	update positions
asn=1    	id=2   	Mobility	at 0.029 pos is 1.032
asn=89   	id=1   	RPL	DIO output to -1
asn=93   	id=-1  	link_model	path_loss_dbm = 36.106804103511465, current bitrate = 50, current distance is 1.032318
asn=93   	id=2   	Node	add neighbor id=1
asn=93   	id=2   	RPL	DIO input from 1
asn=93   	id=2   	RPL	DIO output to 1
asn=124  	id=-1  	link_model	path_loss_dbm = 36.106804103511465, current bitrate = 50, current distance is 1.032318
asn=124  	id=1   	Node	add neighbor id=2
asn=124  	id=1   	RPL	DIO input from 2
asn=124  	id=-1  	link_model	path_loss_dbm = 36.106804103511465, current bitrate = 50, current distance is 1.032318
asn=124  	id=2   	Node	tx done to=1 numtx=1 acked=true, remove packet
asn=124  	id=2   	RPL	DIO output to 1
asn=155  	id=-1  	link_model	path_loss_dbm = 36.106804103511465, current bitrate = 50, current distance is 1.032318
asn=155  	id=1   	RPL	DIO input from 2
asn=155  	id=-1  	link_model	path_loss_dbm = 36.106804103511465, current bitrate = 50, current distance is 1.032318
asn=155  	id=2   	Node	tx done to=1 numtx=1 acked=true, remove packet
asn=155  	id=2   	RPL	DIO output to 1
asn=186  	id=-1  	link_model	path_loss_dbm = 36.106804103511465, current bitrate = 50, current distance is 1.032318
asn=186  	id=1   	RPL	DIO input from 2
asn=186  	id=-1  	link_model	path_loss_dbm = 36.106804103511465, current bitrate = 50, current distance is 1.032318
asn=186  	id=2   	Node	tx done to=1 numtx=1 acked=true, remove packet
asn=186  	id=2   	RPL	DIO output to 1
asn=217  	id=-1  	link_model	path_loss_dbm = 36.106804103511465, current bitrate = 50, current distance is 1.032318
asn=217  	id=1   	RPL	DIO input from 2
asn=217  	id=-1  	link_model	path_loss_dbm = 36.106804103511465, current bitrate = 50, current distance is 1.032318
asn=217  	id=2   	Node	tx done to=1 numtx=1 acked=true, remove packet
asn=217  	id=2   	RPL	parent switch: null -> 1
asn=217  	id=2   	Node	add the default route via 1
asn=217  	id=2   	TSCH	Orchestra: new time source 1
asn=217  	id=2   	TSCH	Orchestra: storing mode: add uc cell to 1, timeslot=1
asn=313  	id=2   	RPL	DAO output
asn=324  	id=-1  	link_model	path_loss_dbm = 36.106804103511465, current bitrate = 50, current distance is 1.032318
asn=324  	id=1   	RPL	DAO input from 2
asn=324  	id=1   	Node	add route to 2 via 2
asn=324  	id=1   	TSCH	Orchestra: child added 2
asn=324  	id=1   	TSCH	Orchestra: storing mode: add uc cell to 2, timeslot=2
asn=324  	id=1   	RPL	DAO ACK output 241 0
asn=324  	id=-1  	link_model	path_loss_dbm = 36.106804103511465, current bitrate = 50, current distance is 1.032318
asn=324  	id=2   	Node	tx done to=1 numtx=1 acked=true, remove packet
asn=324  	id=2   	TSCH	Orchestra: parent acked a DAO
asn=325  	id=-1  	link_model	path_loss_dbm = 36.106804103511465, current bitrate = 50, current distance is 1.032318
asn=325  	id=2   	RPL	got DAO ACK seqno 241 (our 241), status 0
asn=325  	id=-1  	link_model	path_loss_dbm = 36.106804103511465, current bitrate = 50, current distance is 1.032318
asn=325  	id=1   	Node	tx done to=2 numtx=1 acked=true, remove packet
asn=341  	id=-1  	Mobility	update positions
asn=341  	id=2   	Mobility	at 10.019 pos is 12.020
asn=417  	id=1   	RPL	DIO output to -1
asn=434  	id=-1  	link_model	path_loss_dbm = 61.69336713009713, current bitrate = 50, current distance is 12.020437999999954
