asn=0    	id=-1  	Main	copying configuration file /home/lkw/tsch-sim-history/tsch-sim/examples/mesh/config2.json to output directory /home/lkw/tsch-sim-history/tsch-sim/examples/mesh/results/single_model_diff_packet_period/7200s-5704-1-0/config2.json
asn=0    	id=-1  	Main	initializing 7200 seconds long simulation...
asn=0    	id=-1  	network	network stats has been reset
asn=0    	id=-1  	Main	time.timeline.slot_timings 0.005704,0.005704,0.005704,0.005704,0.005704,0.005704,0.005704,0.005704,0.005704,0.005704,0.005704,0.005704,0.005704,0.005704,0.005704,0.005704,0.005704
asn=0    	id=-1  	Main	creating 10 "node" nodes...
asn=0    	id=-1  	Main	starting simulation main loop...
asn=0    	id=-1  	Main	add network to timeslot switcher
asn=0    	id=-1  	Main	network = [object Object]
asn=157785	id=-1  	Main	periodic neighbor processing for all nodes
asn=315569	id=-1  	Main	periodic neighbor processing for all nodes
asn=473353	id=-1  	Main	periodic neighbor processing for all nodes
asn=631137	id=-1  	Main	periodic neighbor processing for all nodes
asn=788921	id=-1  	Main	periodic neighbor processing for all nodes
asn=946705	id=-1  	Main	periodic neighbor processing for all nodes
asn=1104489	id=-1  	Main	periodic neighbor processing for all nodes
asn=1262272	id=-1  	Main	ending simulation at 7199.999 seconds
asn=1262272	id=-1  	Main	packet stats: PDR=80.754% generated=40791 received=31737 lost=7564 (tx_limit/queue/routing/scheduling/other=496/1423/5645/0/0)
asn=1262272	id=-1  	Main	link stats: PAR=65.926% tx=176460 acked=116333
asn=1262272	id=-1  	Main	current-consumed=2.984 current-consumed-when-joined=2.984
asn=1262272	id=-1  	Main	simulation completed, results saved at /home/lkw/tsch-sim-history/tsch-sim/examples/mesh/results/single_model_diff_packet_period/7200s-5704-1-0
